error_rate,ntrees,select_policy,exp_type,npublishers,nsubscribers,topo,reroute_policy,const_alg,fprob,treatment,bandwidth,choicerandseed,cost,failrandseed,jitter,latency,oracle,overlap,pub_rate,randseed,reach
0,4,oracle,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,shortest,oracle,0.0,results/fprobs-reroute/results_4t_0.00f_400s_200p_red-blue_shortest_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,0.0,-8.68650846621e+18,1.0,10.0,1.0,7953.94,1.0,3.33238957115e+17,1.0
0,4,oracle,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,shortest,oracle,0.05,results/fprobs-reroute/results_4t_0.05f_400s_200p_red-blue_shortest_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,0.0,-8.68650846621e+18,1.0,10.0,0.8817,7953.94,0.7326,3.33238957115e+17,0.8817
0,4,oracle,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,shortest,oracle,0.1,results/fprobs-reroute/results_4t_0.10f_400s_200p_red-blue_shortest_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,0.0,-8.68650846621e+18,1.0,10.0,0.7482,7953.94,0.5513,3.33238957115e+17,0.7482
0,4,oracle,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,shortest,oracle,0.2,results/fprobs-reroute/results_4t_0.20f_400s_200p_red-blue_shortest_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,0.0,-8.68650846621e+18,1.0,10.0,0.455475,7953.94,0.27355,3.33238957115e+17,0.455475
0,4,oracle,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,shortest,oracle,0.3,results/fprobs-reroute/results_4t_0.30f_400s_200p_red-blue_shortest_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,0.0,-8.68650846621e+18,1.0,10.0,0.25385,7953.94,0.1339,3.33238957115e+17,0.25385
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,unicast,0.0,results/fprobs-reroute/results_4t_0.00f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,1516.252,-8.68650846621e+18,1.0,10.0,1.0,7953.94,1.0,3.33238957115e+17,1.0
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,unicast,0.05,results/fprobs-reroute/results_4t_0.05f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,1516.252,-8.68650846621e+18,1.0,10.0,0.8817,7953.94,0.72665,3.33238957115e+17,0.735775
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,unicast,0.1,results/fprobs-reroute/results_4t_0.10f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,1516.252,-8.68650846621e+18,1.0,10.0,0.7482,7953.94,0.53935,3.33238957115e+17,0.55445
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,unicast,0.2,results/fprobs-reroute/results_4t_0.20f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,1516.252,-8.68650846621e+18,1.0,10.0,0.455475,7953.94,0.26125,3.33238957115e+17,0.2742
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,disjoint,unicast,0.3,results/fprobs-reroute/results_4t_0.30f_400s_200p_red-blue_disjoint_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,1516.252,-8.68650846621e+18,1.0,10.0,0.25385,7953.94,0.12525,3.33238957115e+17,0.135075
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,shortest,unicast,0.0,results/fprobs-reroute/results_4t_0.00f_400s_200p_red-blue_shortest_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,1516.252,-8.68650846621e+18,1.0,10.0,1.0,7953.94,1.0,3.33238957115e+17,1.0
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,shortest,unicast,0.05,results/fprobs-reroute/results_4t_0.05f_400s_200p_red-blue_shortest_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,1516.252,-8.68650846621e+18,1.0,10.0,0.8817,7953.94,0.7326,3.33238957115e+17,0.735775
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,shortest,unicast,0.1,results/fprobs-reroute/results_4t_0.10f_400s_200p_red-blue_shortest_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,1516.252,-8.68650846621e+18,1.0,10.0,0.7482,7953.94,0.5513,3.33238957115e+17,0.55445
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,shortest,unicast,0.2,results/fprobs-reroute/results_4t_0.20f_400s_200p_red-blue_shortest_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,1516.252,-8.68650846621e+18,1.0,10.0,0.455475,7953.94,0.27355,3.33238957115e+17,0.2742
0,4,unicast,networkx,200,400,topos/campus_topo_200b-20h-20ibl.json,shortest,unicast,0.3,results/fprobs-reroute/results_4t_0.30f_400s_200p_red-blue_shortest_200b-20h-20ibl_0.00e,10.0,-8.37426641746e+18,1516.252,-8.68650846621e+18,1.0,10.0,0.25385,7953.94,0.1339,3.33238957115e+17,0.135075
