error_rate,ntrees,select_policy,exp_type,npublishers,nsubscribers,topo,reroute_policy,const_alg,fprob,treatment,bandwidth,choicerandseed,cost,failrandseed,jitter,latency,oracle,overlap,pub_rate,randseed,reach
0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.05,results/npubs-reroute/results_4t_0.05f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.55393767598e+18,0.0,4.39459641224e+18,1.0,10.0,0.875,490.86,0.73,6.60643847019e+18,0.875
0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,oracle,0.05,results/npubs-reroute/results_4t_0.05f_20s_10p_red-blue_shortest_topo_0.00e,10.0,-1.55393767598e+18,0.0,4.39459641224e+18,1.0,10.0,0.875,490.86,0.721,6.60643847019e+18,0.875
0,4,oracle,networkx,20,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.05,results/npubs-reroute/results_4t_0.05f_20s_20p_red-blue_disjoint_topo_0.00e,10.0,-1.55393767598e+18,0.0,4.39459641224e+18,1.0,10.0,0.877,490.79,0.7245,6.60643847019e+18,0.877
0,4,oracle,networkx,20,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,oracle,0.05,results/npubs-reroute/results_4t_0.05f_20s_20p_red-blue_shortest_topo_0.00e,10.0,-1.55393767598e+18,0.0,4.39459641224e+18,1.0,10.0,0.877,490.79,0.719,6.60643847019e+18,0.877
0,4,oracle,networkx,30,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.05,results/npubs-reroute/results_4t_0.05f_20s_30p_red-blue_disjoint_topo_0.00e,10.0,-1.55393767598e+18,0.0,4.39459641224e+18,1.0,10.0,0.8595,491.7,0.714333333333,6.60643847019e+18,0.8595
0,4,oracle,networkx,30,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,oracle,0.05,results/npubs-reroute/results_4t_0.05f_20s_30p_red-blue_shortest_topo_0.00e,10.0,-1.55393767598e+18,0.0,4.39459641224e+18,1.0,10.0,0.8595,491.7,0.722666666667,6.60643847019e+18,0.8595
0,4,oracle,networkx,40,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.05,results/npubs-reroute/results_4t_0.05f_20s_40p_red-blue_disjoint_topo_0.00e,10.0,-1.55393767598e+18,0.0,4.39459641224e+18,1.0,10.0,0.8685,492.31,0.72925,6.60643847019e+18,0.8685
0,4,oracle,networkx,40,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,oracle,0.05,results/npubs-reroute/results_4t_0.05f_20s_40p_red-blue_shortest_topo_0.00e,10.0,-1.55393767598e+18,0.0,4.39459641224e+18,1.0,10.0,0.8685,492.31,0.72975,6.60643847019e+18,0.8685
0,4,oracle,networkx,60,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.05,results/npubs-reroute/results_4t_0.05f_20s_60p_red-blue_disjoint_topo_0.00e,10.0,-1.55393767598e+18,0.0,4.39459641224e+18,1.0,10.0,0.8815,492.25,0.721833333333,6.60643847019e+18,0.8815
0,4,oracle,networkx,60,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,oracle,0.05,results/npubs-reroute/results_4t_0.05f_20s_60p_red-blue_shortest_topo_0.00e,10.0,-1.55393767598e+18,0.0,4.39459641224e+18,1.0,10.0,0.8815,492.25,0.722333333333,6.60643847019e+18,0.8815
0,4,oracle,networkx,80,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.05,results/npubs-reroute/results_4t_0.05f_20s_80p_red-blue_disjoint_topo_0.00e,10.0,-1.55393767598e+18,0.0,4.39459641224e+18,1.0,10.0,0.8645,489.81,0.723375,6.60643847019e+18,0.8645
0,4,oracle,networkx,80,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,oracle,0.05,results/npubs-reroute/results_4t_0.05f_20s_80p_red-blue_shortest_topo_0.00e,10.0,-1.55393767598e+18,0.0,4.39459641224e+18,1.0,10.0,0.8645,489.81,0.725,6.60643847019e+18,0.8645
0,4,unicast,networkx,5,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_5p_red-blue_disjoint_topo_0.00e,10.0,-1.55393767598e+18,77.824,4.39459641224e+18,1.0,10.0,0.855,489.26,0.712,6.60643847019e+18,0.716
0,4,unicast,networkx,5,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_5p_red-blue_shortest_topo_0.00e,10.0,-1.55393767598e+18,77.824,4.39459641224e+18,1.0,10.0,0.855,489.26,0.708,6.60643847019e+18,0.716
0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_10p_red-blue_disjoint_topo_0.00e,10.0,-1.55393767598e+18,77.876,4.39459641224e+18,1.0,10.0,0.875,490.86,0.73,6.60643847019e+18,0.729
0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_10p_red-blue_shortest_topo_0.00e,10.0,-1.55393767598e+18,77.876,4.39459641224e+18,1.0,10.0,0.875,490.86,0.721,6.60643847019e+18,0.729
0,4,unicast,networkx,20,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_20p_red-blue_disjoint_topo_0.00e,10.0,-1.55393767598e+18,77.414,4.39459641224e+18,1.0,10.0,0.877,490.79,0.7245,6.60643847019e+18,0.73
0,4,unicast,networkx,20,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_20p_red-blue_shortest_topo_0.00e,10.0,-1.55393767598e+18,77.414,4.39459641224e+18,1.0,10.0,0.877,490.79,0.719,6.60643847019e+18,0.73
0,4,unicast,networkx,30,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_30p_red-blue_disjoint_topo_0.00e,10.0,-1.55393767598e+18,77.89,4.39459641224e+18,1.0,10.0,0.8595,491.7,0.714333333333,6.60643847019e+18,0.719
0,4,unicast,networkx,30,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_30p_red-blue_shortest_topo_0.00e,10.0,-1.55393767598e+18,77.89,4.39459641224e+18,1.0,10.0,0.8595,491.7,0.722666666667,6.60643847019e+18,0.719
0,4,unicast,networkx,40,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_40p_red-blue_disjoint_topo_0.00e,10.0,-1.55393767598e+18,77.786,4.39459641224e+18,1.0,10.0,0.8685,492.31,0.72925,6.60643847019e+18,0.7375
0,4,unicast,networkx,40,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_40p_red-blue_shortest_topo_0.00e,10.0,-1.55393767598e+18,77.786,4.39459641224e+18,1.0,10.0,0.8685,492.31,0.72975,6.60643847019e+18,0.7375
0,4,unicast,networkx,60,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_60p_red-blue_disjoint_topo_0.00e,10.0,-1.55393767598e+18,77.924,4.39459641224e+18,1.0,10.0,0.8815,492.25,0.721833333333,6.60643847019e+18,0.7345
0,4,unicast,networkx,60,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_60p_red-blue_shortest_topo_0.00e,10.0,-1.55393767598e+18,77.924,4.39459641224e+18,1.0,10.0,0.8815,492.25,0.722333333333,6.60643847019e+18,0.7345
0,4,unicast,networkx,80,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_80p_red-blue_disjoint_topo_0.00e,10.0,-1.55393767598e+18,78.39,4.39459641224e+18,1.0,10.0,0.8645,489.81,0.723375,6.60643847019e+18,0.724
0,4,unicast,networkx,80,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,unicast,0.05,results/npubs-reroute/results_4t_0.05f_20s_80p_red-blue_shortest_topo_0.00e,10.0,-1.55393767598e+18,78.39,4.39459641224e+18,1.0,10.0,0.8645,489.81,0.725,6.60643847019e+18,0.724
